Date,PositionQty,Price,Balance,PositionValue,PositionRatio,Side
2020-05-02,35332,8832.00,1.83953943,4.00045290,2.1747,Long
2020-05-03,42996,8980.50,1.76983778,4.78770670,2.7052,Long
2020-05-04,10332,8907.50,1.87602280,1.15992141,0.6183,Long
2020-05-05,29108,8885.00,1.16629089,3.27608329,2.8090,Long
2020-05-06,51328,9025.50,1.31001562,5.68699795,4.3412,Long
2020-05-07,51328,9153.50,1.42727837,5.60747255,3.9288,Long
2020-05-08,0,10010.00,1.68188715,0.00000000,0.0000,Flat
2020-05-09,0,9806.50,1.68188715,0.00000000,0.0000,Flat
2020-05-10,0,9537.50,1.68188715,0.00000000,0.0000,Flat
2020-05-11,109452,8727.50,2.03346438,12.54104841,6.1673,Long
2020-05-12,0,8565.50,2.03886605,0.00000000,0.0000,Flat
2020-05-13,0,8822.50,2.00125620,0.00000000,0.0000,Flat
2020-05-14,0,9314.50,2.00125620,0.00000000,0.0000,Flat
2020-05-15,0,9801.50,2.00125620,0.00000000,0.0000,Flat
2020-05-16,0,9315.50,2.00125620,0.00000000,0.0000,Flat
2020-05-17,0,9384.00,2.00125620,0.00000000,0.0000,Flat
2020-05-18,0,9677.00,2.00125620,0.00000000,0.0000,Flat
2020-05-19,0,9727.00,2.00125620,0.00000000,0.0000,Flat
2020-05-20,0,9786.50,2.00125620,0.00000000,0.0000,Flat
2020-05-21,0,9505.00,2.00125620,0.00000000,0.0000,Flat
2020-05-22,8555,9059.00,2.00125620,0.94436472,0.4719,Long
2020-05-23,5555,9159.50,2.32692841,0.60647415,0.2606,Long
2020-05-24,22220,9168.50,2.35970346,2.42351530,1.0270,Long
2020-05-25,148765,8705.50,2.36004641,17.08862214,7.2408,Long
2020-05-26,131876,8893.50,2.29177383,14.82835779,6.4703,Long
2020-05-27,131876,8838.50,2.29829396,14.92063133,6.4920,Long
2020-05-28,48157,9205.00,2.54084168,5.23161325,2.0590,Long
2020-05-29,0,9582.50,2.71274797,0.00000000,0.0000,Flat
2020-05-30,0,9427.50,2.85217963,0.00000000,0.0000,Flat
2020-05-31,5555,9702.00,2.84049809,0.57256236,0.2016,Long
2020-06-01,33330,9445.50,3.66931225,3.52866444,0.9617,Long
2020-06-02,33330,10250.50,3.88040858,3.25154870,0.8379,Long
2020-06-03,35659,9520.00,3.93316051,3.74569328,0.9523,Long
2020-06-04,38104,9668.00,4.20223699,3.94124948,0.9379,Long
2020-06-05,0,9799.00,3.57970491,0.00000000,0.0000,Flat
2020-06-06,22665,9610.50,3.71481596,2.35835805,0.6349,Long
2020-06-07,60885,9668.50,3.71193003,6.29725397,1.6965,Long
2020-06-08,106660,9760.50,3.71105847,10.92771887,2.9446,Long
2020-06-09,93550,9793.00,3.96210694,9.55274175,2.4110,Long
2020-06-10,60018,9784.00,3.95188150,6.13430090,1.5522,Long
2020-06-11,30353,9894.00,3.96877277,3.06781888,0.7730,Long
2020-06-12,19665,9259.00,4.26125975,2.12387947,0.4984,Long
2020-06-13,0,9459.50,4.42245134,0.00000000,0.0000,Flat
2020-06-14,0,9476.00,4.47678716,0.00000000,0.0000,Flat
2020-06-15,-151223,9327.00,4.41294682,16.21346628,-3.6741,Short
2020-06-16,9666,9426.00,5.02522025,1.02546149,0.2041,Long
2020-06-17,9666,9522.50,4.75026427,1.01506957,0.2137,Long
2020-06-18,68330,9452.50,4.74995863,7.22877546,1.5219,Long
2020-06-19,68330,9374.00,4.75064650,7.28931086,1.5344,Long
2020-06-20,0,9296.50,4.72935277,0.00000000,0.0000,Flat
2020-06-21,28888,9358.50,4.73006052,3.08681947,0.6526,Long
2020-06-22,28888,9286.50,4.72913134,3.11075217,0.6578,Long
2020-06-23,183328,9692.00,4.76383639,18.91539414,3.9706,Long
2020-06-24,183328,9624.00,5.21404040,19.04904406,3.6534,Long
2020-06-25,311658,9287.00,5.14738241,33.55852267,6.5195,Long
2020-06-26,58998,9240.00,3.02498304,6.38506494,2.1108,Long
2020-06-27,88664,9148.50,2.61515889,9.69164344,3.7059,Long
2020-06-28,0,8997.50,1.75462455,0.00000000,0.0000,Flat
2020-06-29,52763,9114.50,1.31766697,5.78890778,4.3933,Long
2020-06-30,31070,9188.00,1.61806889,3.38158468,2.0899,Long
2020-07-01,110768,9132.50,1.66000737,12.12898987,7.3066,Long
2020-07-02,3996,9234.50,1.65883227,0.43272511,0.2609,Long
2020-07-03,-110316,9084.50,1.89706374,12.14332104,-6.4011,Short
2020-07-04,-126009,9055.50,1.85608446,13.91518966,-7.4971,Short
2020-07-05,-190167,9142.00,1.84657889,20.80146576,-11.2649,Short
2020-07-06,-190167,9078.00,1.71193491,20.94811633,-12.2365,Short
2020-07-07,83334,9348.00,1.60111729,8.91463415,5.5678,Long
2020-07-08,33332,9251.00,2.13355237,3.60306994,1.6888,Long
2020-07-09,323326,9443.00,1.94727254,34.23975432,17.5834,Long
2020-07-10,0,9235.50,2.05591671,0.00000000,0.0000,Flat
2020-07-11,136666,9290.50,1.83559200,14.71029546,8.0139,Long
2020-07-12,247797,9232.00,1.80249143,26.84109619,14.8911,Long
2020-07-13,137795,9305.00,1.54651122,14.80870500,9.5756,Long
2020-07-14,173347,9230.00,1.43807138,18.78082340,13.0597,Long
2020-07-15,122221,9256.50,1.30154428,13.20380273,10.1447,Long
2020-07-16,41665,9188.00,1.30721267,4.53471920,3.4690,Long
2020-07-17,-319996,9130.50,1.19161022,35.04693062,-29.4114,Short
2020-07-18,-183330,9154.00,1.20265775,20.02731047,-16.6525,Short
2020-07-19,-33664,9172.50,1.14731592,3.67010084,-3.1989,Short
2020-07-20,-56328,9219.00,1.04520505,6.10999024,-5.8457,Short
2020-07-21,-6666,9160.00,1.05142716,0.72772926,-0.6921,Short
2020-07-22,26664,9393.00,1.03564309,2.83870968,2.7410,Long
2020-07-23,53328,9537.50,1.03020484,5.59140236,5.4275,Long
2020-07-24,53328,9611.50,1.01369561,5.54835353,5.4734,Long
2020-07-25,53328,9549.00,1.01202250,5.58466855,5.5183,Long
2020-07-26,66660,9712.00,1.42926307,6.86367381,4.8022,Long
2020-07-27,86322,9940.50,1.54642045,8.68386902,5.6155,Long
2020-07-28,0,11063.50,2.07982253,0.00000000,0.0000,Flat
2020-07-29,28997,10941.50,1.68664850,2.65018508,1.5713,Long
2020-07-30,21996,11108.50,1.68206857,1.98010532,1.1772,Long
2020-07-31,49654,11127.50,1.77104000,4.46227814,2.5196,Long
2020-08-01,53320,11361.00,1.76073868,4.69324883,2.6655,Long
2020-08-02,0,11827.50,2.08296935,0.00000000,0.0000,Flat
2020-08-03,30922,11072.00,2.70630557,2.79281069,1.0320,Long
2020-08-04,5533,11244.00,2.62772350,0.49208467,0.1873,Long
2020-08-05,20665,11188.00,3.01106795,1.84706829,0.6134,Long
2020-08-06,0,11765.50,3.11522551,0.00000000,0.0000,Flat
2020-08-07,0,11768.50,3.20381208,0.00000000,0.0000,Flat
2020-08-08,-15999,11600.00,3.21513283,1.37922414,-0.4290,Short
2020-08-09,29778,11773.00,3.63045376,2.52934681,0.6967,Long
2020-08-10,51554,11691.00,3.82833657,4.40971688,1.1519,Long
2020-08-11,0,11900.50,3.79557085,0.00000000,0.0000,Flat
2020-08-12,-3296,11383.00,3.93950223,0.28955460,-0.0735,Short
2020-08-13,0,11570.50,4.63783590,0.00000000,0.0000,Flat
2020-08-14,55550,11805.00,4.74564231,4.70563321,0.9916,Long
2020-08-15,49995,11777.00,5.16316051,4.24513883,0.8222,Long
2020-08-16,5555,11864.50,5.32569517,0.46820346,0.0879,Long
2020-08-17,32220,11926.00,5.32552582,2.70166024,0.5073,Long
2020-08-18,-12548,12308.50,5.33486302,1.01945810,-0.1911,Short
2020-08-19,-12548,11956.50,5.64063754,1.04947100,-0.1861,Short
2020-08-20,11110,11761.00,5.77308362,0.94464756,0.1636,Long
2020-08-21,4444,11869.00,5.77401413,0.37442076,0.0648,Long
2020-08-22,-59440,11529.50,5.82093096,5.15547075,-0.8857,Short
2020-08-23,-54218,11675.50,5.92796982,4.64374117,-0.7834,Short
2020-08-24,-44218,11657.00,5.93755967,3.79325727,-0.6389,Short
2020-08-25,-83880,11757.50,5.93345976,7.13416968,-1.2024,Short
2020-08-26,37205,11319.00,5.99550381,3.28695114,0.5482,Long
2020-08-27,-19789,11466.00,6.31277283,1.72588523,-0.2734,Short
2020-08-28,12863,11331.50,6.36715284,1.13515422,0.1783,Long
2020-08-29,22195,11528.50,6.08068691,1.92522878,0.3166,Long
2020-08-30,40193,11483.00,6.07872119,3.50021771,0.5758,Long
2020-08-31,89106,11719.00,6.29746711,7.60354979,1.2074,Long
2020-09-01,54994,11658.00,6.32503142,4.71727569,0.7458,Long
2020-09-02,113654,11937.00,7.02274970,9.52115272,1.3558,Long
2020-09-03,369304,11398.50,7.81212704,32.39935079,4.1473,Long
2020-09-04,242850,10144.00,7.10189741,23.94026025,3.3710,Long
2020-09-05,5999,10455.00,7.73055994,0.57379244,0.0742,Long
2020-09-06,38995,10161.50,7.21375630,3.83752399,0.5320,Long
2020-09-07,11997,10250.50,8.31549439,1.17038193,0.1407,Long
2020-09-08,7998,10379.50,8.53828839,0.77055735,0.0902,Long
2020-09-09,25991,10126.50,9.09762613,2.56663210,0.2821,Long
2020-09-10,25991,10222.50,8.63085984,2.54252874,0.2946,Long
2020-09-11,0,10343.00,8.69870807,0.00000000,0.0000,Flat
2020-09-12,0,10395.50,8.70437814,0.00000000,0.0000,Flat
2020-09-13,2999,10441.00,8.71600800,0.28723302,0.0330,Long
